Age,SedCalories,ModCalories,ActCalories,AvgCalories,Protein,Carbs,Fibre,Total Fat,Iron,Vitamin C,Sodium,Calcium
9,1400.00,1600.00,1800.00,1600.00,34,130,26,62.22222222,0.008,0.045,2.2,1.3
10,1400.00,1800.00,2000.00,1733.00,34,130,26,67.40740741,0.008,0.045,2.2,1.3
11,1600.00,1800.00,2000.00,1800.00,34,130,26,70,0.008,0.045,2.2,1.3
12,1600.00,2000.00,2200.00,1933.00,34,130,26,75.18518519,0.008,0.045,2.2,1.3
13,1600.00,2000.00,2200.00,1933.00,34,130,26,75.18518519,0.008,0.045,2.2,1.3
14,1800.00,2000.00,2400.00,2067.00,46,130,26,80.37037037,0.015,0.065,2.3,1.3
15,1800.00,2000.00,2400.00,2067.00,46,130,26,80.37037037,0.015,0.065,2.3,1.3
16,1800.00,2000.00,2400.00,2067.00,46,130,26,80.37037037,0.015,0.065,2.3,1.3
17,1800.00,2000.00,2400.00,2067.00,46,130,26,80.37037037,0.015,0.065,2.3,1.3
18,1800.00,2000.00,2400.00,2067.00,46,130,26,80.37037037,0.015,0.065,2.3,1.3
19,2000.00,2200.00,2400.00,2200.00,46,130,25,73.33333333,0.018,0.075,2.3,1
20,2000.00,2200.00,2400.00,2200.00,46,130,25,73.33333333,0.018,0.075,2.3,1
21,2000.00,2200.00,2400.00,2200.00,46,130,25,73.33333333,0.018,0.075,2.3,1
22,2000.00,2200.00,2400.00,2200.00,46,130,25,73.33333333,0.018,0.075,2.3,1
23,2000.00,2200.00,2400.00,2200.00,46,130,25,73.33333333,0.018,0.075,2.3,1
24,2000.00,2200.00,2400.00,2200.00,46,130,25,73.33333333,0.018,0.075,2.3,1
25,2000.00,2200.00,2400.00,2200.00,46,130,25,73.33333333,0.018,0.075,2.3,1
26,1800.00,2000.00,2400.00,2067.00,46,130,25,68.88888889,0.018,0.075,2.3,1
27,1800.00,2000.00,2400.00,2067.00,46,130,25,68.88888889,0.018,0.075,2.3,1
28,1800.00,2000.00,2400.00,2067.00,46,130,25,68.88888889,0.018,0.075,2.3,1
29,1800.00,2000.00,2400.00,2067.00,46,130,25,68.88888889,0.018,0.075,2.3,1
30,1800.00,2000.00,2400.00,2067.00,46,130,25,68.88888889,0.018,0.075,2.3,1
31,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
32,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
33,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
34,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
35,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
36,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
37,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
38,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
39,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
40,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
41,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
42,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
43,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
44,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
45,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
46,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
47,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
48,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
49,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
50,1800.00,2000.00,2200.00,2000.00,46,130,25,66.66666667,0.018,0.075,2.3,1
51,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
52,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
53,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
54,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
55,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
56,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
57,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
58,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
59,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
60,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
61,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
62,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
63,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
64,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
65,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
66,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
67,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
68,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
69,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
70,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
71,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
72,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
73,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
74,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
75,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
76,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
77,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
78,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
79,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
80,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
81,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
82,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
83,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
84,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
85,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
86,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
87,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
88,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
89,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
90,1600.00,1800.00,2200.00,1867.00,46,130,21,62.22222222,0.008,0.075,2.3,1.2
