Age,SedCalories,ModCalories,ActCalories,AvgCalories,Protein,Carbs,Fibre,Total Fat,Iron,Vitamin C,Sodium,Calcium
9,1600.00,1800.00,2000.00,1800.00,34,130,31,70,0.008,0.045,2.2,1.3
10,1600.00,1800.00,2200.00,1867.00,34,130,31,72.59259259,0.008,0.045,2.2,1.3
11,1800.00,2000.00,2200.00,2000.00,34,130,31,77.77777778,0.008,0.045,2.2,1.3
12,1800.00,2200.00,2400.00,2133.00,34,130,31,82.96296296,0.008,0.045,2.2,1.3
13,2000.00,2200.00,2600.00,2267.00,34,130,31,88.14814815,0.008,0.045,2.2,1.3
14,2000.00,2400.00,2800.00,2400.00,52,130,38,93.33333333,0.011,0.075,2.3,1.3
15,2200.00,2600.00,3000.00,2600.00,52,130,38,101.1111111,0.011,0.075,2.3,1.3
16,2400.00,2800.00,3200.00,2800.00,52,130,38,108.8888889,0.011,0.075,2.3,1.3
17,2400.00,2800.00,3200.00,2800.00,52,130,38,108.8888889,0.011,0.075,2.3,1.3
18,2400.00,2800.00,3200.00,2800.00,52,130,38,108.8888889,0.011,0.075,2.3,1.3
19,2600.00,2800.00,3000.00,2800.00,56,130,38,93.33333333,0.008,0.09,2.3,1
20,2600.00,2800.00,3000.00,2800.00,56,130,38,93.33333333,0.008,0.09,2.3,1
21,2400.00,2800.00,3000.00,2733.00,56,130,38,91.11111111,0.008,0.09,2.3,1
22,2400.00,2800.00,3000.00,2733.00,56,130,38,91.11111111,0.008,0.09,2.3,1
23,2400.00,2800.00,3000.00,2733.00,56,130,38,91.11111111,0.008,0.09,2.3,1
24,2400.00,2800.00,3000.00,2733.00,56,130,38,91.11111111,0.008,0.09,2.3,1
25,2400.00,2800.00,3000.00,2733.00,56,130,38,91.11111111,0.008,0.09,2.3,1
26,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
27,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
28,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
29,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
30,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
31,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
32,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
33,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
34,2400.00,2600.00,3000.00,2667.00,56,130,38,88.88888889,0.008,0.09,2.3,1
